Herb Name,Botanical Name,Common Uses,Active Compounds,Preparation Form,Health Conditions Treated,Dosage,Side Effects,Interactions,Region Origin
Bitter Leaf Variant-1,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",1–9g/day,Mild heartburn,None known,Europe
Aloe Vera Variant-2,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–8g/day,Dizziness,Enhances anticoagulants,Asia
Neem Variant-3,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",3–6g/day,Stomach upset,Enhances anticoagulants,South America
Ginger Variant-4,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–6g/day,Dizziness,Avoid with laxatives,South America
Aloe Vera Variant-5,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–9g/day,Mild heartburn,Avoid with diabetes drugs,South America
Aloe Vera Variant-6,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–7g/day,Liver stress (overdose),Avoid with laxatives,Middle East
Bitter Leaf Variant-7,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–9g/day,Mild heartburn,None known,South America
Bitter Leaf Variant-8,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",3–9g/day,Dizziness,None known,Middle East
Hibiscus Variant-9,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–8g/day,Stomach upset,Avoid with diabetes drugs,India
Garlic Variant-10,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",4–7g/day,Mild heartburn,Enhances anticoagulants,Europe
Moringa Variant-11,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–9g/day,Dizziness,Avoid with laxatives,Asia
Moringa Variant-12,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",3–10g/day,Stomach upset,May interact with blood thinners,Asia
Ginger Variant-13,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–7g/day,Mild heartburn,Avoid with diabetes drugs,Middle East
Neem Variant-14,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",5–6g/day,Dizziness,Avoid with laxatives,Asia
Neem Variant-15,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–9g/day,Dizziness,None known,Middle East
Clove Variant-16,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",1–10g/day,Mild heartburn,Avoid with diabetes drugs,Africa
Bitter Leaf Variant-17,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–9g/day,Mild heartburn,Enhances anticoagulants,Europe
Clove Variant-18,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",1–7g/day,Dizziness,May interact with blood thinners,Middle East
Garlic Variant-19,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",2–8g/day,Stomach upset,Enhances anticoagulants,South America
Aloe Vera Variant-20,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–10g/day,Liver stress (overdose),None known,Europe
Bitter Leaf Variant-21,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–6g/day,Mild heartburn,Avoid with laxatives,Middle East
Aloe Vera Variant-22,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–7g/day,None known,Avoid with laxatives,India
Hibiscus Variant-23,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–8g/day,None known,None known,Europe
Aloe Vera Variant-24,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–7g/day,None known,Avoid with laxatives,South America
Garlic Variant-25,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",4–7g/day,Stomach upset,None known,Europe
Neem Variant-26,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",3–9g/day,Dizziness,Avoid with diabetes drugs,India
Scent Leaf Variant-27,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",3–8g/day,Mild heartburn,Avoid with diabetes drugs,Asia
Scent Leaf Variant-28,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–9g/day,Mild heartburn,Enhances anticoagulants,India
Hibiscus Variant-29,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–6g/day,None known,Avoid with diabetes drugs,South America
Bitter Leaf Variant-30,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–10g/day,None known,Enhances anticoagulants,Asia
Turmeric Variant-31,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",3–9g/day,Stomach upset,Enhances anticoagulants,Africa
Bitter Leaf Variant-32,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–8g/day,Mild heartburn,Avoid with diabetes drugs,Asia
Scent Leaf Variant-33,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–9g/day,Stomach upset,Avoid with laxatives,South America
Clove Variant-34,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–10g/day,Liver stress (overdose),Avoid with laxatives,Europe
Neem Variant-35,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",5–10g/day,Dizziness,May interact with blood thinners,Africa
Aloe Vera Variant-36,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–9g/day,Mild heartburn,Enhances anticoagulants,Europe
Neem Variant-37,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–9g/day,Mild heartburn,None known,Asia
Scent Leaf Variant-38,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–6g/day,Dizziness,Avoid with laxatives,Middle East
Moringa Variant-39,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",5–8g/day,Dizziness,Enhances anticoagulants,South America
Neem Variant-40,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",4–9g/day,None known,Avoid with diabetes drugs,Europe
Hibiscus Variant-41,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–7g/day,None known,Avoid with diabetes drugs,India
Hibiscus Variant-42,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,3–8g/day,Mild heartburn,Enhances anticoagulants,South America
Turmeric Variant-43,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–7g/day,Liver stress (overdose),Avoid with laxatives,Asia
Ginger Variant-44,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–8g/day,Mild heartburn,Avoid with laxatives,India
Turmeric Variant-45,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",3–6g/day,Liver stress (overdose),Avoid with diabetes drugs,Asia
Turmeric Variant-46,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",1–6g/day,None known,May interact with blood thinners,Europe
Aloe Vera Variant-47,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",5–8g/day,Dizziness,May interact with blood thinners,South America
Neem Variant-48,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",5–10g/day,Stomach upset,Enhances anticoagulants,Asia
Ginger Variant-49,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–9g/day,None known,Enhances anticoagulants,Africa
Neem Variant-50,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–7g/day,Liver stress (overdose),Avoid with laxatives,Europe
Neem Variant-51,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",4–10g/day,Liver stress (overdose),Enhances anticoagulants,Europe
Scent Leaf Variant-52,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",4–7g/day,Mild heartburn,None known,Europe
Moringa Variant-53,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",5–8g/day,None known,None known,Africa
Turmeric Variant-54,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",1–9g/day,Dizziness,Avoid with diabetes drugs,Asia
Ginger Variant-55,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–6g/day,Stomach upset,Avoid with laxatives,Asia
Aloe Vera Variant-56,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",5–9g/day,Mild heartburn,Avoid with laxatives,India
Bitter Leaf Variant-57,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",1–7g/day,Stomach upset,Avoid with laxatives,Asia
Hibiscus Variant-58,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,3–8g/day,Mild heartburn,May interact with blood thinners,India
Aloe Vera Variant-59,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–7g/day,Mild heartburn,None known,Europe
Turmeric Variant-60,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–8g/day,Dizziness,Avoid with laxatives,South America
Scent Leaf Variant-61,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–6g/day,None known,Enhances anticoagulants,Middle East
Ginger Variant-62,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",5–9g/day,Liver stress (overdose),Enhances anticoagulants,Asia
Neem Variant-63,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",3–8g/day,None known,Enhances anticoagulants,Asia
Neem Variant-64,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",4–6g/day,Stomach upset,May interact with blood thinners,India
